latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
13.30328,77.49928,330.44,0.35,0.57,2026-09-07,841,N21,VIIRS,n,2.0NRT,297.74,3.78,D
13.39125,78.55362,342.85,0.42,0.61,2026-09-07,841,N21,VIIRS,n,2.0NRT,298.16,4.87,D
13.82308,77.46265,337.35,0.36,0.57,2026-09-07,841,N21,VIIRS,n,2.0NRT,300.64,3.01,D
13.82392,77.46268,339.89,0.36,0.57,2026-09-07,841,N21,VIIRS,n,2.0NRT,300.31,3.11,D
13.86369,79.33259,336.09,0.48,0.65,2026-09-07,841,N21,VIIRS,n,2.0NRT,296.38,5.38,D
14.00484,78.13704,332.62,0.4,0.6,2026-09-07,841,N21,VIIRS,n,2.0NRT,296.18,3.08,D
14.00567,78.1367,332.7,0.4,0.6,2026-09-07,841,N21,VIIRS,n,2.0NRT,294.74,3.4,D
14.09951,77.17999,334.11,0.34,0.56,2026-09-07,841,N21,VIIRS,n,2.0NRT,298.12,2.63,D
14.58273,79.70184,349.83,0.52,0.67,2026-09-07,841,N21,VIIRS,n,2.0NRT,292.5,4.41,D
14.88572,79.6793,340.72,0.52,0.67,2026-09-07,841,N21,VIIRS,n,2.0NRT,294.94,7.13,D
15.40742,79.91134,347.9,0.55,0.68,2026-09-07,841,N21,VIIRS,n,2.0NRT,292.62,7.07,D
16.01439,78.2641,337.66,0.43,0.62,2026-09-07,843,N21,VIIRS,n,2.0NRT,291.69,4.22,D
15.02316,78.01364,301.33,0.57,0.69,2026-09-07,1934,N21,VIIRS,n,2.0NRT,278.47,4.18,N
15.17382,77.09942,302.63,0.66,0.73,2026-09-07,1934,N21,VIIRS,n,2.0NRT,286.73,2.65,N
17.46402,80.6552,312.13,0.4,0.6,2026-09-07,1934,N21,VIIRS,n,2.0NRT,288.62,1.61,N
17.46438,80.65501,312.76,0.4,0.6,2026-09-07,1934,N21,VIIRS,n,2.0NRT,288.56,1.42,N
18.72132,79.53968,303.63,0.49,0.65,2026-09-07,1934,N21,VIIRS,n,2.0NRT,287.74,1.41,N
13.38639,78.22185,341.05,0.38,0.43,2026-09-08,824,N21,VIIRS,n,2.0NRT,306.3,3.35,D
13.83928,77.07301,341.14,0.5,0.41,2026-09-08,824,N21,VIIRS,n,2.0NRT,302.19,7.41,D
13.97903,77.95586,338.88,0.56,0.43,2026-09-08,824,N21,VIIRS,n,2.0NRT,307.37,17.1,D
13.99043,77.50262,338.3,0.53,0.42,2026-09-08,824,N21,VIIRS,n,2.0NRT,306.1,4.89,D
14.04394,77.44282,340.46,0.53,0.42,2026-09-08,824,N21,VIIRS,n,2.0NRT,305.77,12.21,D
14.04906,77.54129,331.43,0.53,0.42,2026-09-08,824,N21,VIIRS,l,2.0NRT,301.51,3.87,D
14.05006,77.53891,332.19,0.53,0.42,2026-09-08,824,N21,VIIRS,n,2.0NRT,301.96,7.04,D
14.18716,78.70611,342.37,0.42,0.45,2026-09-08,824,N21,VIIRS,n,2.0NRT,303.51,2.16,D
14.1913,78.70552,337.8,0.42,0.45,2026-09-08,824,N21,VIIRS,n,2.0NRT,304.64,4.35,D
14.21133,79.1557,335.5,0.45,0.47,2026-09-08,824,N21,VIIRS,n,2.0NRT,302.15,5.96,D
14.35181,79.77394,331.42,0.5,0.49,2026-09-08,824,N21,VIIRS,n,2.0NRT,300.25,5.07,D
14.36157,78.77882,333.15,0.43,0.46,2026-09-08,824,N21,VIIRS,l,2.0NRT,303.57,3.1,D
14.45216,79.08225,331.66,0.45,0.47,2026-09-08,824,N21,VIIRS,l,2.0NRT,301.84,1.77,D
14.53657,79.06839,367,0.45,0.47,2026-09-08,824,N21,VIIRS,h,2.0NRT,304.9,41.2,D
14.61038,79.57807,332.01,0.48,0.48,2026-09-08,824,N21,VIIRS,n,2.0NRT,298.28,3.66,D
16.39796,78.34895,333.49,0.43,0.46,2026-09-08,824,N21,VIIRS,n,2.0NRT,291.35,13.95,D
13.03041,77.87395,310.53,0.35,0.57,2026-09-08,2055,N21,VIIRS,n,2.0NRT,288.5,1.04,N
13.03228,77.87708,301.88,0.35,0.57,2026-09-08,2055,N21,VIIRS,n,2.0NRT,288.37,1.11,N
13.03289,77.87395,313.38,0.35,0.57,2026-09-08,2055,N21,VIIRS,n,2.0NRT,288.65,1.11,N
14.42481,79.67995,295.39,0.43,0.62,2026-09-08,2055,N21,VIIRS,n,2.0NRT,285.35,4.49,N
16.51887,79.73135,302.84,0.4,0.6,2026-09-08,2055,N21,VIIRS,n,2.0NRT,290.34,1.59,N
16.87159,80.02135,304.24,0.41,0.61,2026-09-08,2055,N21,VIIRS,n,2.0NRT,287.16,2.38,N
17.9596,80.79324,303.82,0.44,0.62,2026-09-08,2055,N21,VIIRS,n,2.0NRT,283.35,2.48,N
13.97606,79.91261,337.67,0.41,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,298.42,8.05,D
14.01298,80.09498,335.05,0.42,0.38,2026-09-09,803,N21,VIIRS,n,2.0NRT,299.03,2.3,D
14.04119,80.04752,332.94,0.42,0.38,2026-09-09,803,N21,VIIRS,n,2.0NRT,299.24,2.04,D
14.0464,79.93699,336.53,0.42,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,300.2,3.38,D
14.14412,79.71678,335.49,0.41,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,298.08,3.1,D
14.2691,78.73764,345.64,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,302.78,7.2,D
14.45214,78.27834,340.94,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,305.51,6,D
14.47654,79.68936,337.62,0.41,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,303.04,3.04,D
14.52803,78.49195,336.8,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,302.73,4.52,D
14.68141,79.14023,335.49,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,301.62,4.31,D
14.8653,78.35685,342.78,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,301.97,7.45,D
14.89146,79.23196,343.05,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,304.99,4.29,D
15.26868,78.92443,345.06,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,303.25,5.46,D
15.2713,78.92387,338.21,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,302.28,3.67,D
15.38911,78.19917,342.8,0.39,0.36,2026-09-09,805,N21,VIIRS,n,2.0NRT,305.88,7.87,D
15.6227,78.10231,332.54,0.39,0.36,2026-09-09,805,N21,VIIRS,l,2.0NRT,302.93,3.6,D
16.21061,78.12437,330.73,0.39,0.36,2026-09-09,805,N21,VIIRS,n,2.0NRT,299.34,1.58,D
17.2603,80.37199,334.59,0.46,0.39,2026-09-09,805,N21,VIIRS,n,2.0NRT,293.55,4.64,D
17.40713,80.6287,337.85,0.48,0.4,2026-09-09,805,N21,VIIRS,n,2.0NRT,296,5.98,D
13.50614,78.64854,306.17,0.56,0.43,2026-09-09,2038,N21,VIIRS,n,2.0NRT,290.47,1.72,N
13.71074,79.61864,309.33,0.43,0.46,2026-09-09,2038,N21,VIIRS,n,2.0NRT,292.15,5.99,N
14.58761,78.58028,304.51,0.54,0.42,2026-09-09,2038,N21,VIIRS,n,2.0NRT,288.43,2.93,N
15.17582,77.10212,299.97,0.45,0.39,2026-09-09,2038,N21,VIIRS,n,2.0NRT,275.48,0.49,N
15.17934,77.10276,299.91,0.45,0.39,2026-09-09,2038,N21,VIIRS,n,2.0NRT,274.83,0.49,N
17.13936,77.17619,296.48,0.43,0.38,2026-09-09,2038,N21,VIIRS,n,2.0NRT,275.9,0.2,N
17.14147,77.18481,298.98,0.43,0.38,2026-09-09,2038,N21,VIIRS,n,2.0NRT,278.76,0.75,N
17.36966,77.44419,307.87,0.44,0.38,2026-09-09,2038,N21,VIIRS,n,2.0NRT,291.95,1.27,N
14.50943,77.50732,345.89,0.39,0.44,2026-09-10,746,N21,VIIRS,n,2.0NRT,301.31,6.11,D
17.3086,77.62019,333.06,0.52,0.41,2026-09-10,746,N21,VIIRS,n,2.0NRT,285.06,8.89,D
17.30932,77.6216,330.95,0.52,0.41,2026-09-10,746,N21,VIIRS,n,2.0NRT,284.98,8.81,D
15.17476,77.10052,308.85,0.41,0.37,2026-09-10,2017,N21,VIIRS,n,2.0NRT,291.91,1.38,N
15.1776,77.10484,306.7,0.41,0.37,2026-09-10,2017,N21,VIIRS,n,2.0NRT,291.49,1.38,N
14.5182,77.85088,305.51,0.39,0.36,2026-09-10,2019,N21,VIIRS,n,2.0NRT,278.07,1.11,N
