latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
13.97606,79.91261,337.67,0.41,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,298.42,8.05,D
14.01298,80.09498,335.05,0.42,0.38,2026-09-09,803,N21,VIIRS,n,2.0NRT,299.03,2.3,D
14.04119,80.04752,332.94,0.42,0.38,2026-09-09,803,N21,VIIRS,n,2.0NRT,299.24,2.04,D
14.0464,79.93699,336.53,0.42,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,300.2,3.38,D
14.14412,79.71678,335.49,0.41,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,298.08,3.1,D
14.2691,78.73764,345.64,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,302.78,7.2,D
14.45214,78.27834,340.94,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,305.51,6,D
14.47654,79.68936,337.62,0.41,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,303.04,3.04,D
14.52803,78.49195,336.8,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,302.73,4.52,D
14.68141,79.14023,335.49,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,301.62,4.31,D
14.8653,78.35685,342.78,0.39,0.36,2026-09-09,803,N21,VIIRS,n,2.0NRT,301.97,7.45,D
14.89146,79.23196,343.05,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,304.99,4.29,D
15.26868,78.92443,345.06,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,303.25,5.46,D
15.2713,78.92387,338.21,0.4,0.37,2026-09-09,803,N21,VIIRS,n,2.0NRT,302.28,3.67,D
15.38911,78.19917,342.8,0.39,0.36,2026-09-09,805,N21,VIIRS,n,2.0NRT,305.88,7.87,D
15.6227,78.10231,332.54,0.39,0.36,2026-09-09,805,N21,VIIRS,l,2.0NRT,302.93,3.6,D
16.21061,78.12437,330.73,0.39,0.36,2026-09-09,805,N21,VIIRS,n,2.0NRT,299.34,1.58,D
17.2603,80.37199,334.59,0.46,0.39,2026-09-09,805,N21,VIIRS,n,2.0NRT,293.55,4.64,D
17.40713,80.6287,337.85,0.48,0.4,2026-09-09,805,N21,VIIRS,n,2.0NRT,296,5.98,D
