latitude,longitude,days_detected,total_detections,persistence_level,first_detected,last_detected
13.91568,77.479562,3,6,HIGH,2026-09-07,2026-09-10
13.98943,78.56695,2,2,MEDIUM,2026-09-07,2026-09-09
14.960955,78.125105,2,4,MEDIUM,2026-09-07,2026-09-09
14.502784,79.693446,3,5,HIGH,2026-09-07,2026-09-09
14.476627,79.920313,2,3,MEDIUM,2026-09-07,2026-09-09
15.233265,78.27122,2,2,MEDIUM,2026-09-07,2026-09-09
14.953437,77.097112,4,6,VERY HIGH,2026-09-07,2026-09-10
17.445177,80.646303,2,3,MEDIUM,2026-09-07,2026-09-09
14.38775,78.21051,2,2,MEDIUM,2026-09-08,2026-09-09
14.215853,78.716423,2,3,MEDIUM,2026-09-08,2026-09-09
14.44637,79.147965,2,2,MEDIUM,2026-09-08,2026-09-09
14.16056,79.598355,2,2,MEDIUM,2026-09-08,2026-09-09
15.63163,78.3529,2,2,MEDIUM,2026-09-08,2026-09-09
13.403445,77.868965,2,4,MEDIUM,2026-09-08,2026-09-10
